City_ID!,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
227,Cap Malheureux,MU,2023-01-08 18:32:23,-19.9842,57.6142,26.37,71,5,2.68
228,Kruisfontein,ZA,2023-01-08 18:32:23,-34.0033,24.7314,19.51,81,1,2.79
229,Rocha,UY,2023-01-08 18:31:26,-34.4833,-54.3333,28.27,41,0,7.71
230,Muros,ES,2023-01-08 18:32:24,42.7762,-9.0603,12.83,84,95,7.91
231,Cuamba,MZ,2023-01-08 18:33:24,-14.8031,36.5372,21.36,96,100,1.57
232,Shamkhal,RU,2023-01-08 18:33:24,43.0596,47.3373,-7.01,37,99,2.67
233,Bardiyah,LY,2023-01-08 18:33:25,31.7561,25.0865,14.9,73,0,4.22
234,Bhuban,IN,2023-01-08 18:33:25,20.8833,85.8333,14.47,41,0,0.51
235,Nuzvid,IN,2023-01-08 18:33:26,16.7833,80.85,16.17,85,0,1.31
236,Pangody,RU,2023-01-08 18:33:26,65.85,74.4859,-32.69,100,46,3.81
237,Pascagoula,US,2023-01-08 18:33:27,30.3658,-88.5561,20.79,86,100,0.0
238,Obzor,BG,2023-01-08 18:33:27,42.8167,27.8833,7.3,84,2,5.13
239,Carballo,ES,2023-01-08 18:33:27,43.213,-8.691,12.7,92,100,4.43
240,Matagami,CA,2023-01-08 18:33:28,49.7502,-77.6328,-8.94,79,100,3.6
241,Gao,ML,2023-01-08 18:33:28,16.6362,1.637,24.08,15,7,5.38
242,Karoi,ZW,2023-01-08 18:33:29,-16.8099,29.6925,16.8,98,100,1.51
243,Marand,IR,2023-01-08 18:33:29,38.4329,45.7749,0.81,81,100,0.91
244,Abeche,TD,2023-01-08 18:33:30,13.8292,20.8324,22.62,15,81,4.44
245,Mtwara,TZ,2023-01-08 18:33:30,-10.2667,40.1833,27.63,78,20,5.14
246,Dzilam Gonzalez,MX,2023-01-08 18:33:31,21.2833,-88.9333,30.45,48,6,2.59
247,Urbino,IT,2023-01-08 18:33:31,43.7298,12.6356,12.37,74,100,4.83
248,Kargasok,RU,2023-01-08 18:33:32,59.0556,80.8572,-9.36,96,100,4.25
249,Serov,RU,2023-01-08 18:32:13,59.6033,60.5787,-29.3,85,100,4.15
